title,datetime,link,search_word
"Meet Willow, our state-of-the-art quantum chip",2024-12-09 12:33:36.167662,https://news.google.com/read/CBMidkFVX3lxTE9TYU9sQjg4VjNLMjVEY2VweEQ1eHZ0UnBFbFNUcmttZnU1YjVXVlBzSFRhQURiMXRuNXhFTmNDTnUzUlBxaGxNVG5pUGEybzBfOTBUMVVPeEJITzNiTFBvV2dSZExodlBaT0I4SEQzUUlUXzFjZWc?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Google unveils ‘mindboggling’ quantum computing chip,2024-12-09 12:33:36.168336,https://news.google.com/read/CBMiowFBVV95cUxQa1JFaEtGUG9MbHBFM05iUVhQWTU3SWJVcWIycFFtU1VKTkt2MFk2VVRjWFlyWVdScXlzZFBPdHdVcE9jbS1KTGNJYWlvQ3k5RXJMRGh4aFA0eDZUZ0gxQnNSUHEzUFJKTGZXZmNtS0U2bEw0NW1wTXc0bVFaajRVVG1WSkYtenZQVTJzbU5CVi1BY2RYa2Z4SURSVjdocTdpZG400gGjAUFVX3lxTE5LNzV3Qno3dllNRlJXYzN6TnB2Tm1ub3dqOGxiSkN4WWduYlhrQUczUGtlOEp4ek9XM2ROUlotd3VGaWhTNHlkR042V2FyMl91RnM4UnJ3dHJtcmhoNHRQTlpDQzRONUdoTURKY0lSVG9OMFZvVkZLN01NYWREdDdJZ1RQaV9wZVl2VVRNTFRrNkMtbE1KcmUwazAtMGt4WlBRRTQ?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Google unveils 'mind-boggling' quantum computing chip,2024-12-09 12:33:36.168959,https://news.google.com/read/CBMiWkFVX3lxTE1fNEg5N3pPUXBTaWtKMms4Y1lFbzU0RFpfWUdQckVmaTVxQUczaUxFa2pobzczQVFNV3Q1MGw4WXRTR24yY3FOcld3TWdrV3JYWlJFcDlnVENSUdIBX0FVX3lxTE45VWtIR2V5NVZEWDc3LTF5LUo3U1dfTFdzU2NmVV9idHVaN3E0RGsyWEVMRjRkMkpkVzVOQ3kyRnYxYW5waWIyX1QwTm1TRGxGX3VzUVo5OWlueFFyb2xZ?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Google passes milestone on road to an error-free quantum computer,2024-12-09 12:33:36.169567,https://news.google.com/read/CBMinAFBVV95cUxQdm14amRqeFU4ZUpMcldTOVdaLVpqQ2Jpdm4tWHhnbFJZV0Y2WTU3Zlo2SlB3bHFzc1liLVk1dThrRjFwYnhsZGpGOGFaQ1hkR0dQVmw5LUNOSVk2Q1VpODZudFZKYVo1bldia0hXdExWOGxFQzBMZFJkdEJLa21TMHFkNFNTUk13OE1IYjVZX1YtZkpzY2RzSkR1RUI?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
‘A truly remarkable breakthrough’: Google’s new quantum chip achieves accuracy milestone,2024-12-09 12:33:36.169891,https://news.google.com/read/CBMiX0FVX3lxTFBxRHNsTlhCcXE4d3dsWldxSDZQU2tSYXUxdkdzMlViNW4zRjIyeXJKekZNWGNaV1plekNyX1VKTTNLZ1JEV2JYVm10YmZPbmFWa3p5UFV5MEFtUWE5SEcw?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Google says it has cracked a quantum computing challenge with new chip,2024-12-09 12:33:36.170830,https://news.google.com/read/CBMitgFBVV95cUxPbDJ4a1pJTGdob25yNmFZeGpvMndwYkNKRmFlNW5SM0psakxldEY2bV9tbGZaQXBvZi1FSjZjUWhEM0Z6LWRSMnk1SWNSTmNNZms3eXNjalg0T3ozRF9VVzVuMlJSTllfd0g4eTU4eHRnUjFLMG5aLU9aX3h1MlVxMGpGR3lxLUZ4MUNBNUNKZjlNVHJRbWhsTzM1RXFsY096bXBpS3NHaVpoeThKcDZxQ1p4NlBPQQ?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Go inside the Google Quantum AI lab to learn about how quantum computing works,2024-12-09 12:33:36.170983,https://news.google.com/read/CBMihwFBVV95cUxNVHpBZUNZSGdmS292N1NtNTFWQ1FsZUVwajN2cUV6VFBCX2ZzSlNXTi1PUGo1WHV2RFg5UFprMEgwbFVwdlZVQk1KV0FvcXNjYU9rQTcwMFV5dWpCQ3lKNDA3dURNalhyeVI3QW1FSGhUZ1lCWXZQTEM2ZW9ER2kwUFNkcEh5RnM?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
New study reveals quasiparticle loss in extreme quantum materials,2024-12-09 12:33:36.173188,https://news.google.com/read/CBMigwFBVV95cUxOQnY5bzl2dnkyWEo1OVRaNDJQOWJoUVNzNURsaTh3dy1oUmU4NlhzeVR4bVJSM2VFTHVpN0xBQXRpcURBSUIxQ05EVWxfVmlJRXJTTk02TG1DcTNsUWlucDlQRmlqeG82T216aDFCSUp5RFdZRW1haDZEQ1duaUFfQWlmUdIBggFBVV95cUxOTlUxVkQxTXJSazBTbExMNU9zTmFjTGJnNUI0MHl1OFdqTjlOR2M5QXpMOHJhOFFjQWlyV2xIQjhyQkltRjRzRGhERTc4NDhFczRsMFo1N1ZNLXZGR2QzaFdKRWkxMVdZaEt1M2ZRN0dFdV9RRGZEaHlJNl93WlZEY1VB?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Quantum mechanical principle of strong coupling leads to better optical sensors,2024-12-09 12:33:36.173544,https://news.google.com/read/CBMihgFBVV95cUxOem1CeGQ0S1RGQnZ0THJBZENyOWFZV1RoMmNMekkyVXdoRU12UjBLY01mYTIyQWxlTVRlNjF2MHRFU3A2aC13S1Bxa1h5MDdlRUZ0TWsxNFE4NzhzV2RRVVFyRXg1eDdjWlVYT2lNMzE4Q0V2VkhzcEYxSGVpR3JjbVYyUUtKZ9IBhAFBVV95cUxQSnUxZ1lkWWNhdUZCcW9uMlpzSV96ZHh4SFJPNmVFeUt5eE1mSHl4bUptWmZuS2Rjb0M1NGdrRW43U3Z1NGFOd0ZCMlA3ZTB6cFl0NjlXcXowd1NxSGQ3b3ZQRDlteTh2dlFpZ3ZCTk02U1c2MWdfMEZwNVZvaHZiQ1RHdzY?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Scientific breakthrough gives new hope to building quantum computers,2024-12-09 12:33:36.174956,https://news.google.com/read/CBMicEFVX3lxTE1ZQVp1eC03a1RWQmN0SllHaFVLcVRfbklrdVhsZm8wVzhybExFaHpROE1YZjV0OWFKLXJGS3BHY3dUb0JSZnIySldtQ1BBZ0Vhd1hHTWlMQUFvWDhIcnRPbFM5MHJnMzBKTFIwYXdsVzE?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Quantum Computers Cross Critical Error Threshold,2024-12-09 12:33:36.175104,https://news.google.com/read/CBMikwFBVV95cUxOS1BvRFE5bXNBTEkwWHo5alI3bHlEc2hFb3dienhQbEZxWFNKSkpSMUVtQW02bDAxdFlocUtxTXNYWVA2UDlNNGpodnk5YUFjaEtwa2VnUjc0bWhUUmF2d0ZyNjFfcF9WWVdSXy1nbUFoVUJaUE1jQ0VIUElBUFhpZ21abVJ4VExfVVhYcVFDdmRDY0k?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Google Quantum AI: New Quantum Chip Outperforms Classical Computers and Breaks Error Correction Threshold,2024-12-09 12:33:36.175249,https://news.google.com/read/CBMi3wFBVV95cUxPLXhueUlMdGpNWlVhM3lJdG1Ub1pCRlhBWHByU2tEVy1wTnByVm1veUFPREk1X3FZQ0o0ZVZaOC05b1BSM0VqSllZcS12aF94ZUNGZzJrXzJIdFRMcXdmM2M1Rl9aMGtaWm5mcGx2Ymc3eTVRckRaWGZjWFlPa3lkdGRoT0tMRl8zSE5NNElIWUlXOWRscVU0RUEwTU81Zm5WR1hxb3JtZ2p4dDRNSkk0Um42Q0Q0RGpjYXNGY3NqeWFBdzgxVVExQ0lGbm16VTJkWFZ6VW9qNVppYjRSSlVr?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Willow Wows Elon Musk in X Exchange With Sundar Pichai,2024-12-09 12:33:36.177105,https://news.google.com/read/CBMinAFBVV95cUxNQzdFVEdRcXMxOFY5Z1VmOXJydEk4ZXRBZkFmeVpwOWVXMHdkYlRqZVllZDVZNEVXS3FmNlVIMDRLeHhiMHh4LVRycmxnT0FKbF82VHM4UW1lT2NSeld1X1FIZWZkRHhtR19BNm16QnZJNkRiSm9oZUZydzc2NUltcmVYU0pLZ0VzWGROMkZqQTFUeVMtdk04OXZJR2k?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Is Google's new Willow quantum computer really such a big deal?,2024-12-09 12:33:36.179190,https://news.google.com/read/CBMiqwFBVV95cUxOQUJreGVXVG1CU3lfbnZCbG41NFl1SnpHc2luZmhqajBEVC1Td0Rhd0JvTzBFSjNobXhBLUc5WGcwNXlJZHpZbk5oejdpQ3VGQTF2VjBGT21ma3FXM1pEQVYzR3gzWXhIT0cxWm9mdDF4cFVUeWY2RHFycXZMeUpuZXRDdlZVREh2WGRvUnhJcm9ZZTZZQjdGVjRqbFFLaGVZZl9yLXF5Z0pFUzQ?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Google 'Willow' quantum chip solves problem that would have taken a supercomputer 10 septillion years,2024-12-09 12:33:36.179356,https://news.google.com/read/CBMijAJBVV95cUxOM2h5cU1zZjN5MmNIaml0ZTNSakdUSjBKWnZvX2VpcHlsRkcwc3RYMUFIQ2ZxTDBNcXhCSkRINVBIMl9MRzAyOXVhNUNfNldJTmRBcXYwUXlUbmdKYjFFYTN5bXFHcGc3R29iU2ttU3R3ejRmZnFlYmVSaFpISHF0VUIybU1fZGtpcHQtMDIyZ3ZrMTQ5NmhVOVFPcFJ3SWNTdEdicTk0V3plTDROWFlXa1BpTVZ2MFp6UWNTSHMzMWlsUkV1NTZxanlSUE1tNl8zaDlhLTBxbzFIS1p1cm9ELXJQRnJDdllmOW03M2c3ODktTWFaVUJQSUZDUG9SMjUwOEwxMGlQQzVsN0Vu?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
"Google Debuts New Quantum Chip, Error Correction Breakthrough, and Roadmap Details",2024-12-09 12:33:36.179897,https://news.google.com/read/CBMitwFBVV95cUxOUy1tbVpqaF9ScW5qelhEc3FLR3BEdnhDa0FQMHNITmp1R0V4Y1JqMW9xZFpyN05jTGdWd2hQMWZaQTRGYmZRUTZIcWVTb0lpWWNYWHhjZDk3eUJtTEJNLURWTUpBLXRjODRlWW9CWU9fQk1RUkJhRzZsRWw0MEs0a3dpN2VMUWtRbUJPREk3Z3gyT0tIb0ZOazdhOTUtcC1zZDhXYXJuVngxTjdqMjU1U1ZwX0RoLTA?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
Google Unveils New Quantum Computer With Mind-Boggling Speed,2024-12-09 12:33:36.181680,https://news.google.com/read/CBMisAFBVV95cUxPN1ZHcTNKX2g1WklFUGdBQjhmQU1SdHlSRHlQQnp0TEJ6dmZRdVNqdUc0ajVLaDV0SnhNYzREUk9pNTBNS1Rha1p6VWtjdU0zTFNMaGwwNElheURvVUpWRmNyb0VxM29Ldy1jSjVWNU4zN2pGN19uMnA5VjZnSk13Q0t2YThoVEIyN1I1Mjc3RXprQlIxOWQySGlyZlVwZUVyc3FvTjVoTVE0dk43Z1pNSg?hl=en-CA&gl=CA&ceid=CA%3Aen,quantum
